Name,Location,Rating,Review Count,Price,Categories,Reviews,text
Bottega,"1132 Valencia St, San Francisco, CA 94158",4.3,1226,$$,"Italian, Pasta Shops, Pizza","1st time being here after wanting to go finally did and did not disappoint ! Took a date and she even agreed perfect choice of restaurant. The risotto was...; Shrimpi Scampi - delicious
Prosciutto Pizza - Fantastic
Antonio - DELICIOUS, AMAZING, TO DIE FOR.

The pumpy house music threw me off a little bit upon...; Lovely dinner for my friends bday dinner. Gianluca took amazing care of us rowdy ladies. The food was 10/10. Thank you","Name: Bottega
Location: 1132 Valencia St, San Francisco, CA 94158
Rating: 4.3
# of reviews: 1226
Price: $$
Categories: Italian, Pasta Shops, Pizza
Reviews: 1st time being here after wanting to go finally did and did not disappoint ! Took a date and she even agreed perfect choice of restaurant. The risotto was...; Shrimpi Scampi - delicious
Prosciutto Pizza - Fantastic
Antonio - DELICIOUS, AMAZING, TO DIE FOR.

The pumpy house music threw me off a little bit upon...; Lovely dinner for my friends bday dinner. Gianluca took amazing care of us rowdy ladies. The food was 10/10. Thank you"
Fog Harbor Fish House,"39 Pier, San Francisco, CA 94133",4.4,11052,$$,"Seafood, Wine Bars, Cocktail Bars","It is hard to compare these foods but Fog Harbor's specialty is the taste and ambiance they provide, no doubt, their services are extremely appreciated as...; Our waiter Luis was attentive and funny and overall great. the food was really good and we could see the seals frolicking in the water from our waterside...; Great stop on Pier 39.  LUIS WAS AMAZING AND SO MUCH FUN!  We sat outside which was beautiful.","Name: Fog Harbor Fish House
Location: 39 Pier, San Francisco, CA 94133
Rating: 4.4
# of reviews: 11052
Price: $$
Categories: Seafood, Wine Bars, Cocktail Bars
Reviews: It is hard to compare these foods but Fog Harbor's specialty is the taste and ambiance they provide, no doubt, their services are extremely appreciated as...; Our waiter Luis was attentive and funny and overall great. the food was really good and we could see the seals frolicking in the water from our waterside...; Great stop on Pier 39.  LUIS WAS AMAZING AND SO MUCH FUN!  We sat outside which was beautiful."
Marufuku Ramen,"1581 Webster St, Ste 235, San Francisco, CA 94115",4.5,5320,$$,Ramen,"Delicious!
The broth was clear!
The seasoning was correct!
Service was efficient 
Experience was comfortable; Omg I love this place. Always fresh and super delicious! The service is pretty fast , especially once you are seated and order. Had my food within 10min if...; I would want to recognize the staff and management here first. We came here at opening, and there was a malfunction of the ordering system that mixed up...","Name: Marufuku Ramen
Location: 1581 Webster St, Ste 235, San Francisco, CA 94115
Rating: 4.5
# of reviews: 5320
Price: $$
Categories: Ramen
Reviews: Delicious!
The broth was clear!
The seasoning was correct!
Service was efficient 
Experience was comfortable; Omg I love this place. Always fresh and super delicious! The service is pretty fast , especially once you are seated and order. Had my food within 10min if...; I would want to recognize the staff and management here first. We came here at opening, and there was a malfunction of the ordering system that mixed up..."
Sotto Mare,"552 Green St, San Francisco, CA 94133",4.3,5489,$$,"Seafood, Italian, Bars","Really good ! It is worth it waiting a line !
And we went to 4:30 but it is start 5:00 pm 
Ant that time many people waited int front of the door. If you go...; Wonderful food service chef all is wonderful we must go to there again thanks everything; No reservations and they were able to seats immediately. Brought my friend from college and her family here. They were very accommodating with the stroller...","Name: Sotto Mare
Location: 552 Green St, San Francisco, CA 94133
Rating: 4.3
# of reviews: 5489
Price: $$
Categories: Seafood, Italian, Bars
Reviews: Really good ! It is worth it waiting a line !
And we went to 4:30 but it is start 5:00 pm 
Ant that time many people waited int front of the door. If you go...; Wonderful food service chef all is wonderful we must go to there again thanks everything; No reservations and they were able to seats immediately. Brought my friend from college and her family here. They were very accommodating with the stroller..."
Blind Butcher,"4058 18th St, San Francisco, CA 94114",4.0,413,$$,"New American, Wine Bars","If you go to a restaurant called ""blind butcher"" and don't get a nice cut of beef for your entree, you're doing it wrong. First off, their ribeye is a...; I made reservations for four people to get their $25 per meal deal. My friends and I were running late but they were very nice changing our reservations to...; I've been here more than a handful of times but today the staff was super friendly and inviting.

I think it was Mickey and Alina, they kept checking in on...","Name: Blind Butcher
Location: 4058 18th St, San Francisco, CA 94114
Rating: 4.0
# of reviews: 413
Price: $$
Categories: New American, Wine Bars
Reviews: If you go to a restaurant called ""blind butcher"" and don't get a nice cut of beef for your entree, you're doing it wrong. First off, their ribeye is a...; I made reservations for four people to get their $25 per meal deal. My friends and I were running late but they were very nice changing our reservations to...; I've been here more than a handful of times but today the staff was super friendly and inviting.

I think it was Mickey and Alina, they kept checking in on..."
The Hungry Spot,"2077 Hayes St, San Francisco, CA 94117",4.9,45,$$,"Comfort Food, Salad, Sandwiches","This review effectively highlights key aspects of the establishment, such as cleanliness and service quality, which are essential for attracting potential...; Ordered three sandwiches for pickup. 
Because my mobile app didn't give me the options to pick toppings, I was very pleased when they did the works. The...; Finally got there. Great experience. Clean as can be in this tiny place; kitchen, dining area and restroom.
Great selection of sandwiches, salads, and...","Name: The Hungry Spot
Location: 2077 Hayes St, San Francisco, CA 94117
Rating: 4.9
# of reviews: 45
Price: $$
Categories: Comfort Food, Salad, Sandwiches
Reviews: This review effectively highlights key aspects of the establishment, such as cleanliness and service quality, which are essential for attracting potential...; Ordered three sandwiches for pickup. 
Because my mobile app didn't give me the options to pick toppings, I was very pleased when they did the works. The...; Finally got there. Great experience. Clean as can be in this tiny place; kitchen, dining area and restroom.
Great selection of sandwiches, salads, and..."
Horsefeather,"528 Divisadero St, San Francisco, CA 94117",4.0,634,$$,"Cocktail Bars, New American","One of my favorite brunch spots in SF! I've visited a few times for brunch on the weekend and have always had a great experience. The restaurant is...; such a great place with wonderful staff! love sitting in the indoor patio area. duck fries are a must get!

used to love coming here for brunch BUT they...; I had a really satisfying experience here. It's a cute place for a casual, but romantic date night. The seating inside is a little tight, but there's some...","Name: Horsefeather
Location: 528 Divisadero St, San Francisco, CA 94117
Rating: 4.0
# of reviews: 634
Price: $$
Categories: Cocktail Bars, New American
Reviews: One of my favorite brunch spots in SF! I've visited a few times for brunch on the weekend and have always had a great experience. The restaurant is...; such a great place with wonderful staff! love sitting in the indoor patio area. duck fries are a must get!

used to love coming here for brunch BUT they...; I had a really satisfying experience here. It's a cute place for a casual, but romantic date night. The seating inside is a little tight, but there's some..."
Savor,"401 Irving St, San Francisco, CA 94122",4.7,239,$$,"Mediterranean, Vegetarian, Tapas/Small Plates","I was always a big fan of Saha so I was thrilled to discover Savor. Creative flavors, wonderful presentation and everything came with a delicious soup. I...; No frills cafe with simple ambiance and fantastic food with a creative twist on Arabic/Mediterranean cuisine. The chef clearly is passionate about his...; I'm not vegan or vegetarian but I'd convert if I ate food from here everyday. On a whim my friend and I decided to catch-up and try something healthy, we...","Name: Savor
Location: 401 Irving St, San Francisco, CA 94122
Rating: 4.7
# of reviews: 239
Price: $$
Categories: Mediterranean, Vegetarian, Tapas/Small Plates
Reviews: I was always a big fan of Saha so I was thrilled to discover Savor. Creative flavors, wonderful presentation and everything came with a delicious soup. I...; No frills cafe with simple ambiance and fantastic food with a creative twist on Arabic/Mediterranean cuisine. The chef clearly is passionate about his...; I'm not vegan or vegetarian but I'd convert if I ate food from here everyday. On a whim my friend and I decided to catch-up and try something healthy, we..."
Beit Rima,"86 Carl St, San Francisco, CA 94117",4.4,377,$$,"Arabic, Mediterranean, Lebanese","This place is amazing! I went with my boyfriend on a Friday night around 7pm to enjoy a nice dinner here. It was busy, but we were able to make it in time...; Super cute Mediterranean restaurant with indoor and outdoor dining. The sampler was one of the best that I've had- the baba ghanoush and falafel is perfect....; Met up with some friends for lunch at 12 pm and we got a table inside for our group of 4 as luckily the lunch rush hadn't started yet. After looking at the...","Name: Beit Rima
Location: 86 Carl St, San Francisco, CA 94117
Rating: 4.4
# of reviews: 377
Price: $$
Categories: Arabic, Mediterranean, Lebanese
Reviews: This place is amazing! I went with my boyfriend on a Friday night around 7pm to enjoy a nice dinner here. It was busy, but we were able to make it in time...; Super cute Mediterranean restaurant with indoor and outdoor dining. The sampler was one of the best that I've had- the baba ghanoush and falafel is perfect....; Met up with some friends for lunch at 12 pm and we got a table inside for our group of 4 as luckily the lunch rush hadn't started yet. After looking at the..."
The Snug,"2301 Fillmore St, San Francisco, CA 94115",4.0,459,$$,"Cocktail Bars, New American","The Snug in Pacific Heights is a neighborhood spot offering top-tier cocktails, beers, and upscale bar food. With a cozy inviting atmosphere and excellent...; This place has very unique cocktails! I ordered the ""tanghulu"" which consisted of vodka, strawberry, pear, lemongrass, citrus. I was surprised to see that...; Great cocktail bar! I think I could go here on a weekly basis to enjoy/try out their extensive and creative cocktail options! Had a great experience sitting...","Name: The Snug
Location: 2301 Fillmore St, San Francisco, CA 94115
Rating: 4.0
# of reviews: 459
Price: $$
Categories: Cocktail Bars, New American
Reviews: The Snug in Pacific Heights is a neighborhood spot offering top-tier cocktails, beers, and upscale bar food. With a cozy inviting atmosphere and excellent...; This place has very unique cocktails! I ordered the ""tanghulu"" which consisted of vodka, strawberry, pear, lemongrass, citrus. I was surprised to see that...; Great cocktail bar! I think I could go here on a weekly basis to enjoy/try out their extensive and creative cocktail options! Had a great experience sitting..."
