Name,ID,Location,Rating,Review Count,Phone,Price,Categories,Reviews
Kiraku,vZpuRwoCD4upNRP5CScjDQ,"2566B Telegraph Ave, Berkeley, CA 94704",4.4,1625,+15108482758,$$,"Tapas/Small Plates, Izakaya","Yummy!! Would definitely get the pasta & tostada again :). Excellent service! Will definitely be coming back!; Fantastic food with great energy and great staff!!! Always worth the wait!  Innovative Japanese izakaya with French twist.; I've had kiraku bookmarked forever and was super excited to try it out! Let me just say, I only tried the Kaisen don, but this might have been the best..."
Eureka!,XNZSLrX7UTU1G6TlaQZO0g,"2068 Center St, Berkeley, CA 94704",3.8,2253,+15108098282,$$,American,"Went here for date night and really enjoyed the vibe of the restaurant. We sat near the window side which was open and had a nice view of downtown. 

I got...; Oddly, enough I noticed the sky-blue reminder today. Eureka hasn't paid me to alter or remove my review. It's interesting how I was contacted and received...; Brussel Sprouts 6/10:  was ok crispy on one side but a little to much grease. The flavoring was excellent!

Corn 2/10: under cooked could have used some..."
Creekwood,pJdwr6JoCVXTKbdJlm-rdg,"3121 Sacramento St, Berkeley, CA 94702",4.6,512,+15106478210,$$,"Italian, New American","Ambiance is nice... calm and relaxed.  Service is good,    Food is exceptional!!!

Ordered Burrata  A+... tomatoes so fresh, cheese soft deliciousness and...; Husband and I are in Berkeley for the night and took to Yelp to find a good place for dinner. Creekwood it was! 

We had a reservation for 7pm but arrived a...; I have not been there since they are first opened.
Went on saturday night dinner.
1) same nice decor, clean, modern look
2) Waitress is attentive and..."
Farmhouse Kitchen Thai Cuisine,YEVnW6gJ9Hde6CYHF_u8iw,"1549 Shattuck Ave, Berkeley, CA 94709",4.7,283,+15106478024,,"Thai, Cocktail Bars, Wine Bars","Really amazing food and service!! I strongly recommend this restaurant! Very colorful and tasteful.; Visited Farmhouse in Berkeley for the first time and will definitely be returning again! The food was delicious and the service by our server James was...; Very good food & service. The Yjai tea drink was awesome. We don't need to wait and the location was in the corner, easy to find. 
The sticky rice was so..."
Berkeley Social Club,oqyeLUSC2Z3Aczzh_4-4Yw,"2050 University Ave, Berkeley, CA 94704",4.1,2287,+15109005858,$$,"Breakfast & Brunch, Korean, Bars","The food, service, and the ambience are all wonderful. Between the holiday pours of wine to the Garlic Fries and Dino Foot appetizers to the K-Tacos as a...; Great place to chat and catch up with friends. Brunch and breakfast here are a must! Bottomless mimosas are a great experience with 3 different flavors....; This place offers Asian- American fusion food. Filled with college kids during weekend brunch hours. I have been here a couple times. 
The service was great..."
The Walnut Tavern Bar & Grill,Qx6aveiY4NH4hO2CfIeP6A,"1508 Walnut St, Berkeley, CA 94709",4.5,70,+14159666277,,New American,"The new owners did a nice job with the menu and staff.  Nepalese themed with American comfort touches. Norbu was our server. He was attentive without being...; Service is very mediocre. Our lady server was very impatient and leave no time with us. 

The food I give 2 star.; Update: came back here and ordered some of the same items. Very disappointing food quality and service. Was hoping to make this one of our regular..."
Noor Indian Fusion Kitchen,avKeyaAgeFmUcJQNl8NrOA,"1398 University Ave, Berkeley, CA 94702",4.7,97,+15109035001,,Indian,"Great atmosphere, friendly staff, and AMAZING food!  If you enjoy authentic Indian food, Noor will not disappoint!  Definitely will be back!; I had ordered delivery from Noon a few times and really liked it (and my kids liked it - so rare!). I finally visited the restaurant and it was incredible!...; Quiet Sunday night dinner with a good friend. The vege bariyani was on point. And her saag paneer with cashew milk was yummy too. Too bad we had no room for..."
Three One Four,QsrHlXJHlx0uja-7lcpV9Q,"1329 Gilman St, Berkeley, CA 94706",4.3,134,+15106160101,,"Pizza, Bars, Italian","Long time BK resident. First time 314 diner. The whole experience was wonderful. Nami and her fellow staff were great, as was the food :)

The squash pizza...; I love that this place is close to my hood.
I love that the inside and outside have a beautiful buildout.
I love 2 out of 3 dishes we ordered. 
I love the...; As Christopher walken would say, WOW! 
My darling and I stopped by for a lil lunch.
I felt intimidated, because I am a weirdo, BUT! It is warm, beautiful..."
Noodle Dynasty,tbY3x5Pyal8AeI1xigiRGA,"2426 Telegraph Ave, Berkeley, CA 94704",4.5,276,+15106449292,$$,Noodles,"Noodle Dynasty is a hidden gem that's quickly become my go-to for comfort food. Their noodles are incredible--always cooked to perfection, with rich,...; O V E R V I E W: 

i came here on a Sunday around 2:30 PM while visiting a friend in Berkeley! we heard it was a popular spot and had to give it a try. we...; Service - 5/5
Quick and efficient. 

Ambiance - 2/5
Extremely congested. In fact, I suspect if they are following regulations. And very dirty, the tables,..."
Wood Tavern,bhnKl105GwMVVlsiUnwr2w,"6317 College Ave, Oakland, CA 94618",4.3,2284,+15106546607,$$,New American,"I personally enjoyed the restaurant's signature dish of a Tavern Burger.  I subsituted the fries with a spring salad.  I also recommend the fig salad.   The...; Today I met Kathy and her friend Chip at Wood Tavern.  I left home early to increase my chances of finding a good parking spot and lucked into a spot right...; Wonderful, as always! Service, food, atmosphere- brilliant!

Just wish reservations were easier to get!"
